ID;Title*;DOI;Database;Authors;Title;Year;Published In;Abstract;Keywords;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Using Knowledge Representation and Task Planning for Robot-agnostic Skills on the Example of Contact-Rich Wiping Tasks;10.1109/CASE56687.2023.10260413;IEEE Xplore;"M. Mayr; F. Ahmad; A. Duerr; V. Krueger";Using Knowledge Representation and Task Planning for Robot-agnostic Skills on the Example of Contact-Rich Wiping Tasks;2023;2023 IEEE 19th International Conference 2023;The transition to agile manufacturing, Industry 4.0, and high-mix-low-volume tasks require robot programming solutions that are flexible. However, most deployed robot solutions are still statically programmed and use stiff position control, which limit their usefulness. In this paper, we show how a single robot skill that utilizes knowledge representation, task planning, and automatic selection of skill implementations based on the input parameters can be executed in different contexts. We demonstrate how the skill-based control platform enables this with contact-rich wiping tasks on different robot systems. To achieve that in this case study, our approach needs to address different kinematics, gripper types, vendors, and fundamentally different control interfaces. We conducted the experiments with a mobile platform that has a Universal Robots UR5e 6 degree-of-freedom robot arm with position control and a 7 degree-of-freedom KUKA iiwa with torque control.;"Kinematics; Knowledge representation; Manipulators; Planning; Position control; Service robots; Torque control";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Towards user-oriented programming of skill-based Automation Systems using a domain-specific Meta-Modeling Approach;10.1109/INDIN41052.2019.8972318;IEEE Xplore;"R. Lindorfer; R. Froschauer";Towards user-oriented programming of skill-based Automation Systems using a domain-specific Meta-Modeling Approach;2019;2019 IEEE 17th International Conference 2019;Upcoming trends in manufacturing focus on flexible configuration of products up to lot-size one. This mass customization raises a need of flexible manufacturing and production systems that should react on fast changing market demands. As a result, it is getting more and more important to model all needed assets or skills in an user-oriented and configurable manner. Assets can represent any type of data or skill information needed in a manufacturing domain. Data information could be for example shown to a human worker (e.g. work instructions, images, videos or animations) or could be required by robots (e.g. coordinates, velocities). Skill information represent any type of executable functionality provided by a device. This paper shows a generic approach to model needed context information of (collaborative) manufacturing tasks. This approach supports skill-based engineering enabling the usage of various components from different vendors. In addition, this work presents a domain-specific modeling approach of skills including the definition and validation of custom modeling rules.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;SkiROS2: A Skill-Based Robot Control Platform for ROS;10.1109/IROS55552.2023.10342216;IEEE Xplore;"M. Mayr; F. Rovida; V. Krueger";SkiROS2: A Skill-Based Robot Control Platform for ROS;2023;2023 IEEE/RSJ International Conference 2023;The need for autonomous robot systems in both the service and the industrial domain is larger than ever. In the latter, the transition to small batches or even “batch size 1” in production created a need for robot control system architectures that can provide the required flexibility. Such architectures must not only have a sufficient knowledge integration framework. It must also support autonomous mission execution and allow for interchangeability and interoperability between different tasks and robot systems. We introduce SkiROS2, a skill-based robot control platform on top of ROS. SkiROS2 proposes a layered, hybrid control structure for automated task planning, and reactive execution, supported by a knowledge base for reasoning about the world state and entities. The scheduling formulation builds on the extended behavior tree model that merges task-level planning and execution. This allows for a high degree of modularity and a fast reaction to changes in the environment. The skill formulation based on pre-, hold-and post-conditions allows to organize robot programs and to compose diverse skills reaching from perception to low-level control and the incorporation of external tools. We relate SkiROS2 to the field and outline three example use cases that cover task planning, reasoning, multisensory input, integration in a manufacturing execution system and reinforcement learning.;"Cognition; Organizations; Production; Reinforcement learning; Robot control; Systems architecture; Tutorials";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Skills Composition Framework for Reconfigurable Cyber-Physical Production Modules;10.1109/ETFA61755.2024.10710864;IEEE Xplore;"A. Sidorenko; A. Wagner; M. Ruskowski";Skills Composition Framework for Reconfigurable Cyber-Physical Production Modules;2023;2023 IEEE 28th International Conference 2023;While the benefits of reconfigurable manufacturing systems (RMS) are well-known, there are still challenges to their development, including, among others, a modular software architecture that enables rapid reconfiguration without much reprogramming effort. Skill-based engineering improves software modularity and increases the reconfiguration potential of RMS. Nevertheless, a skills' composition framework with a focus on frequent and rapid software changes is still missing. The behavior trees (BTs) framework is a novel approach that enables the intuitive design of modular hierarchical control structures. BTs have been mostly explored from the AI and robotics perspectives, and little work has been done in investigating their potential for composing skills in the manufacturing domain. This paper proposes a framework for skills' composition and execution in skill-based reconfigurable cyber-physical production modules (RCPPMs). It is based on distributed BTs and provides good integration between low-level devices' specific code and AI-based task-oriented frameworks. We have implemented the provided models for the IEC 61499-based distributed automation controllers. This shows the instantiation of the proposed framework with specific industrial technology to enable its evaluation by the automation community.;"Adaptation models; Artificial intelligence; behavior trees; Computational modeling; Computer architecture; Manufacturing Systems; Production; Protocols; reconfigurable cyber-physical production modules; reconfigurable production systems; Robots; skill-based engineering; skills' composition framework; Software; Software architecture";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Skill-based Metamodel for sustaining the process-oriented cyber-physical System Description;10.1109/CONCAPANXXXIX47272.2019.8976997;IEEE Xplore;"D. Brovkina; O. Riedel";Skill-based Metamodel for sustaining the process-oriented cyber-physical System Description;2019;2019 IEEE 39th Central America 2019;Digitalization slowly but steadily transforms the modern production cells by adding an IT layer to their structure, which, subsequently, leads to the use of cyber-physical systems (CPS) as production cell components. Digital representation of those components through the definition of the corresponding description models starts in the early design phase of the engineering process. The model-based systems engineering (MBSE) approach promotes increased reusability of component models and allows an automatic generation of the system of interest model and its validation through simulation, which results in a shorter design phase. However, existing solutions for CPS description models contain mainly skills and functionalities of the component from a task-oriented perspective to achieve platform-independent code generation for the components control. Semantic information in the skills description usually is completely absent or present only to the extent, which is not enough to match the corresponding components to the product requirements and necessary production processes. Instead, production cell components are manually assigned to the manufacturing processes, which are required for the product. This manual step hinders the automatic production cell model generation based on the product requirements. To allow automatic matching from product descriptions to specific CPSs, a new approach to CPS description is necessary. This description should allow the entirely automatic generation of production cell models through the matching of CPS skills and product requirements. In this paper, a semantic metamodel for CPS is presented. This metamodel enriches CPS models with high-granularity graph-based skill descriptions, which, in combination with the appropriate manufacturing process descriptions, allow automatic matching for production planning and further simulation and ontimization.;"CPS; MBSE; Metamodel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Skill-Based Engineering in Industrial Automation Domain: Skills Modeling and Orchestration;10.1145/3377812.3381394;IEEE Xplore;K. Dorofeev;Skill-Based Engineering in Industrial Automation Domain: Skills Modeling and Orchestration;2020;2020 IEEE/ACM 42nd International Conference 2020;Software engineering in the industrial automation domain requires generic methods to keep the development complexity at an acceptable level. However, nowadays various PLC vendors use different dialects of the standardized programming languages in their tools, which hinders the re-usability and interoperability across the platforms. The service-oriented approaches can serve to overcome interoperability issues. In distributed control systems, the functionality of an automation component can be offered to the other parties that constitute a production system via a standardized interface, easing the orchestration of the whole system. This paper proposes such a generic interface that hides away the low-level implementation details of a particular functionality and provides a common semantic model for the execution. Further, we show how using such an interface can help to support and automate the overall engineering process, combining the functionality of different components to fulfill a production task. The reference implementation of the proposed concept was used in an industrial demonstrator, which shows the benefits in the system flexibility due to components interoperability and re-usability compared to the traditional control approaches.;"Automation; Conferences; Grippers; IEC Standards; industrial automation; Interoperability; OPC UA; orchestration; Production; skill-based engineering; Skills; Software engineering";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Skill-based Engineering and Control on Field-Device-Level with OPC UA;10.1109/ETFA.2019.8869473;IEEE Xplore;"P. Zimmermann; E. Axmann; B. Brandenbourger; K. Dorofeev; A. Mankowski; P. Zanini";Skill-based Engineering and Control on Field-Device-Level with OPC UA;2023;2023 IEEE 28th International Conference 2023;The configuration of current automated production systems is complex and therefore time consuming while the market demands an easy setup and adaptability due to smaller batch sizes and volatile markets. While there are different concepts in research on how to simplify the engineering process by using generic skills or capabilities of devices, run-time control is still achieved with proprietary communication protocols and commands. The concept in this paper uses skills not only in the phase of engineering but also consequently for direct and generic control of field-devices. An executable skill-metamodel therefore describes the methodological functionality which is implemented by using OPC UA due to its vendor independence as well as built-in services and information model. The implementation uses client/server-based OPC UA and the pub/sub pattern to prepare for a deterministic real-time control in conjunction with TSN, which is required by industrial automation.;"Automation; capabilities; Control; Engineering; Field-Device; IEC Standards; Interoperability; OPC UA; Production; Semantics; Skills";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Skill-Based Easy Programming Interface for Industrial Applications;10.1109/SII52469.2022.9708791;IEEE Xplore;"J. Hoyos; A. B. Junaid; M. Raheel Afzal; A. Tirmizi; P. Leconte";Skill-Based Easy Programming Interface for Industrial Applications;2022;2022 IEEE/SICE International Symposium 2022;This paper presents a framework that uses robot skills as a building blocks to ease robot programming. The presented framework is geared towards industrial usage and attempts to lower the technological barrier for workers to not just operate the robots on their factory floor but also to program them. By lowering the technological complexity of programming robots in a vendor-independent fashion, it becomes possible for companies with a need to reprogram robots frequently to automate their operations.The presented framework is built on top of a ROS2 middleware and uses 3-layered architecture to provide reusable skills that are easy to parameterize leveraging the capabilities of modern collaborative robots as well as on traditional industrial robots. The proposed framework further provides a Human-Machine Interface and a database so that the composed skills can be orchestrated and parameterized for a given application in a user-friendly way.The proposed framework’s efficacy in a production environment is demonstrated by three experiments followed by the results with a strong case for the industrial utilization of the approach by quantifying its temporal and economical benefits. Lastly, the paper ends with a discussion on the results and conclusions on the use of this framework and the advantages it can bring to the industry.;"Companies; Production facilities; Programming; Robotic assembly; Service robots; System integration; User interfaces";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Robotic Process Automation with Ontology-enabled Skill-based Robot Task Model and Notation (RTMN);10.1109/RAAI56146.2022.10092996;IEEE Xplore;"C. Z. Sprenger; T. Ribeaud";Robotic Process Automation with Ontology-enabled Skill-based Robot Task Model and Notation (RTMN);2022;2022 2nd International Conference 2022;Non-robotic experts are facing challenges in the fast-growing agile production industry. On the one hand robot programming is time consuming and costly and requires high levels of expertise. On the other hand, current systems are difficult understand and control. The authors propose to bridge this gap by introducing an intuitive way of modeling and programming robotic processes that enables nonexperts to plan and program robot tasks. The authors conducted a literature review, and then adopted both quantitative and qualitative methods in the project ACROBA to deepen the research in this topic. The authors propose a model-driven framework that combines modeling and programming in a graphical way using RTMN - an ontologyenabled skill-based robot task model and notation. Results from the validation process indicate that users find RTMN notations simple to understand and intuitive to use.;"Bibliographies; Bridges; Industries; Intelligent automation; ontology; Production; robot skill; robot task; RTM; Service robots; Task analysis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Research on the Impact of Digital Transformation on Pharmaceutical Manufacturing Innovation Capability: Based on Multiple Linear Regression Model;10.1109/SSIM59263.2023.10469021;IEEE Xplore;F. Li;Research on the Impact of Digital Transformation on Pharmaceutical Manufacturing Innovation Capability: Based on Multiple Linear Regression Model;2023;2023 IEEE 3rd International Conference 2023;This study aimed to explore the impact of digital transformation on the innovation ability of enterprises to help enterprises improve their innovation capabilities in digital transformation. Using an empirical analysis method, a multiple linear regression equation was established using the data of A-share enterprises listed in the pharmaceutical manufacturing industry from 2013 to 2021. The impact of digital transformation on the innovation ability of enterprises was tested, and the results showed that there was a positive correlation between digital transformation and enterprise innovation capabilities. Enterprises need to improve their innovation capabilities and the level of digitalization for a win-win situation. Digital transformation must be also executed for enterprise digitalization and innovation capabilities.;"corporate innovation capacity; Correlation; Digital transformation; Linear regression; Manufacturing industries; Mathematical models; multiple linear regression model; Social sciences; Technological innovation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
